,Date,Open,High,Low,Close,Adj Close,Volume,company_name,SMA_20,buy_signal,sell_signal,signal_SMA,EMA_10,EMA_30,EMA_50,signal_EMA,RSI,signal,OBV,signal_OBV
0,2023-02-14,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,152.38661193847656,61707600,APPLE,,0,0,0,152.38661193847656,152.38661193847656,152.38661193847656,0,,0,73695900.0,0.0
1,2023-02-15,153.11000061035156,155.5,152.8800048828125,155.3300018310547,154.5052947998047,65573800,APPLE,,0,0,0,152.77182700417256,152.52330115533644,152.46969754088158,1,,0,150863800.0,1.0
2,2023-02-16,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,152.89390563964844,68167900,APPLE,,0,0,0,152.79402311971361,152.54721112206627,152.48633315259795,1,,0,227024900.0,1.0
3,2023-02-17,152.35000610351562,153.0,150.85000610351562,152.5500030517578,151.7400665283203,59144100,APPLE,,0,0,0,152.60239464855118,152.49513727730846,152.45706779478314,1,,0,128080300.0,0.0
4,2023-02-21,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,147.69166564941406,58867200,APPLE,,0,0,0,151.70953483052625,152.18523588196044,152.27018927927847,0,,0,201721700.0,1.0
5,2023-02-22,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,148.119384765625,51011300,APPLE,,0,0,0,151.05678027327147,151.922922906713,152.1074126316842,0,,0,275660000.0,1.0
6,2023-02-23,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,148.60679626464844,48394200,APPLE,,0,0,0,150.61132863534,151.70897925238626,151.97013355846713,0,,0,199958200.0,0.0
7,2023-02-24,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,145.93106079101562,55469600,APPLE,,0,0,0,149.76037084546283,151.3362103193946,151.73330717542981,0,,0,267580300.0,1.0
8,2023-02-27,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,147.1346435546875,44998500,APPLE,,0,0,0,149.28296588350366,151.06514149586513,151.5529674255968,0,,0,326776800.0,1.0
9,2023-02-28,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,146.62734985351562,50547000,APPLE,,0,0,0,148.800126605324,150.77883235764907,151.35980595218183,0,,0,274386500.0,0.0
10,2023-03-01,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,144.5384979248047,55479000,APPLE,,0,0,0,148.02528502704777,150.37623013617525,151.0923036765984,0,,0,228394300.0,0.0
11,2023-03-02,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,145.13531494140625,52238100,APPLE,,0,0,0,147.49983592056748,150.0381065752224,150.8586962752183,0,,0,279700000.0,1.0
12,2023-03-03,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,150.22811889648438,70732300,APPLE,,0,0,0,147.99588737073418,150.05036543465866,150.83396775056207,0,,0,329201700.0,1.0
13,2023-03-06,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,153.0132598876953,87558000,APPLE,,0,0,0,148.90813691927255,150.24151991549974,150.9194301873124,0,33.42321340732123,0,397951500.0,1.0
14,2023-03-07,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,150.7951202392578,56182000,APPLE,,1,0,0,149.2512247956335,150.27723606541963,150.9145552873887,0,29.266888003502856,1,454927700.0,1.0
15,2023-03-08,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,152.05836486816406,47204800,APPLE,,0,0,0,149.76161389972995,150.39214760108055,150.95941056506618,0,31.699750246227907,0,408649400.0,0.0
16,2023-03-09,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,149.79046630859375,53833600,APPLE,,0,0,0,149.76685979225064,150.3533294531782,150.91356961383198,0,30.617149183736927,0,357137700.0,0.0
